validation_unit_id,issuer_key,issuer_name,scope_disposition,screen_status,origin_count,source_row_ids,reference_case_id,reference_label,outcome_status,origin_document_ids_missing,current_scope_document_ids
mv_4f36112eaaff,南京牛首山文化旅游集团有限公司,南京牛首山文化旅游集团有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0025,,,unknown,0,doc_exp5_20260703_0025_007
mv_5215e4bcae63,江苏省农垦集团有限公司,江苏省农垦集团有限公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0127,,,unknown,0,doc_exp9_20260704_0127_001;doc_exp9_20260704_0127_005
mv_53174ffb0af6,云南机场集团有限责任公司,云南机场集团有限责任公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0152,,,unknown,0,doc_exp9_20260704_0152_003;doc_exp9_20260704_0152_009
mv_56827a9bfe9b,四川华西集团有限公司,四川华西集团有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0268,,,unknown,0,doc_exp10_20260704_0268_001
mv_588a5cfdd852,中国平煤神马控股集团有限公司,中国平煤神马控股集团有限公司,ineligible,screened_no_direct_formal_event,2,sch_20260630_0109;sch_20260630_0161,,,unknown,0,doc_sch_20260630_0109_008;doc_sch_20260630_0161_008
mv_58bf202441a9,深圳市地铁集团有限公司,深圳市地铁集团有限公司,eligible,screen_positive_nominal,1,exp8_20260703_0009,,,unknown,0,doc_exp8_20260703_0009_003
mv_5d511bd5ada9,浙江荣盛控股集团有限公司,浙江荣盛控股集团有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0131,,,unknown,0,doc_sch_20260630_0131_019
mv_5e15d9346287,南通产业控股集团有限公司,南通产业控股集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0074,,,unknown,0,doc_sch_20260630_0074_002
mv_667c8eece2e6,天津北辰经济技术开发区集团有限公司,天津北辰经济技术开发区集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0134,,,unknown,0,doc_sch_20260630_0134_009
mv_6773afeaec17,湖北荆门城建集团有限公司,湖北荆门城建集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0110,,,unknown,0,doc_sch_20260630_0110_001
mv_678a404468ae,太原市龙城发展投资集团有限公司,太原市龙城发展投资集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0139,,,unknown,0,doc_sch_20260630_0139_005
mv_69372ce07808,淮安市国有联合投资发展集团有限公司,淮安市国有联合投资发展集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0010,,,unknown,0,doc_sch_20260630_0010_006
mv_6bdc75acec44,振石控股集团有限公司,振石控股集团有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0081,,,unknown,0,doc_sch_20260630_0081_004
