c_addr_id,addr_name,addr_name_chn,c_admin_type,c_admin_cat_code,x_coord,y_coord,CHGIS_PT_ID,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,first_entry_year,last_entry_year
5571,Yingcheng,應城,Xian,21,113.569679,30.946003,43617,25,24,12,25,0,1385,1628
4866,Yangxin,陽信,Xian,21,117.576309,37.640835,85534,25,24,13,25,0,1475,1610
7474,Daizhou Zhilizhou,代州直隸州,Zhilizhou,212,112.94904327,39.060390472,9682,25,23,3,1,24,1613,1877
5473,Chongren,崇仁,Xian,21,116.061584,27.75564,40999,25,23,15,25,0,1400,1640
4404,Wen'an,文安,Xian,21,116.464562,38.864807,88202,25,23,14,25,0,1457,1659
4460,Zhending,真定,Xian,21,114.563645,38.14011,44966,25,23,13,20,5,1439,1652
5543,Jiayu,嘉魚,Xian,21,113.895576,29.975599,43438,25,21,12,24,1,1404,1640
5491,Xinchang,新昌,Xian,21,114.7789,28.393312,41227,25,21,12,25,0,1385,1634
7315,Ningjin,寧晉,Xian,21,114.91539764,37.621086121,16,25,20,6,0,25,1619,1892
7983,Changle,昌樂,Xian,21,118.83670807,36.703575134,1733,25,20,8,0,25,1651,1886
7683,Rui'an,瑞安,Xian,21,120.63069153000001,27.790512085,40695,25,20,7,0,25,1628,1909
8191,Yanshi,偃師,Xian,21,112.81244659,34.703128815,549,25,18,7,0,25,1646,1903
7477,Wutai,五臺,Xian,21,113.25900269,38.71900177,1101,25,17,9,0,25,1676,1886
8236,Yingcheng,應城,Xian,21,113.56967926,30.94600296,661,25,17,8,0,25,1659,1865
7278,Qi Zhou,祁州,Zhou,215,115.31508636,38.412342072,24,25,17,9,0,25,1627,1903
7640,Huangyan,黃巖,Xian,21,121.25835419,28.642612457,40653,25,16,10,0,25,1715,1904
8808,Dianjiang,墊江,Xian,21,107.35619354,30.323741913,1250,25,15,11,0,25,1684,1880
7923,Yongning,永寧,Xian,21,114.08008575,26.760475159,829,25,15,10,0,25,1646,1904
4692,Yi Xian,黟縣,Xian,21,117.930214,29.933117,41324,25,12,17,23,2,1404,1631
8346,Huarong,華容,Xian,21,112.55928802,29.518756866,691,25,11,14,0,25,1685,1883
7515,Huating,華亭,Xian,21,121.227638,31.009476,40495,25,10,17,2,23,1640,1878
6844,Tongren,銅仁,Xian,21,109.19268799,27.722476959,481,25,8,18,1,24,1634,1904
7108,Jinzhou Fu,錦州府,Fu,62,121.13530731,41.112857819,9698,25,4,22,0,25,1697,1877
8754,Baoning Fu,保寧府,Fu,62,105.96946716,31.583143234,9706,25,2,23,0,25,1655,1655
7638,Taizhou Fu,台州府,Fu,62,121.12059784,28.843132019,32155,25,1,24,0,25,,
8445,Haiyang,海陽,Xian,21,116.63665771,23.667705536,350,25,1,24,0,25,1762,1800
7126,Shiqian Fu Zhixiadifang,石阡府直轄地方,Zhixiadifang,213,108.23052979,27.520534515,120390,25,1,24,0,25,1795,1817
5426,Pingyang,平陽,Xian,21,120.556442,27.675718,40687,24,24,9,24,0,1385,1589
5449,Yiyang,弋陽,Xian,21,117.421311,28.401876,41203,24,24,19,23,1,1415,1877
4739,Leping,樂平,Xian,21,113.6968,37.608364,95380,24,24,8,23,1,1397,1865
