c_addr_id,addr_name,addr_name_chn,CHGIS_PT_ID,x_coord,y_coord,GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons
8686,Leshan,樂山,1258,103.75156403,29.57068634,CHN.26.8_1,Sichuan,四川,Leshan,乐山市,PrefectureCity,17,6,12,0,17
6776,Ningyuan,寧遠,256,104.88529205,34.720016479,CHN.5.12_1,Gansu,甘肅|甘肃,Tianshui,天水市,PrefectureCity,17,5,12,0,17
7196,Mile,彌勒,1604,103.43320465,24.409358978,CHN.30.6_1,Yunnan,雲南|云南,HongheHaniandYi,红河哈尼族彝族自治州,AutonomousPrefecture,17,5,12,0,17
8769,Pengxi,蓬溪,1240,105.70862579,30.77637291,CHN.26.18_1,Sichuan,四川,Suining,遂宁市,PrefectureCity,17,5,13,0,17
8676,Jintang,金堂,1308,104.43456268,30.857915878,CHN.26.2_1,Sichuan,四川,Chengdu,成都市,PrefectureCity,17,5,12,0,17
7190,Hexi,河西,1591,102.63928223,24.141740799,CHN.30.15_1,Yunnan,雲南|云南,Yuxi,玉溪市,PrefectureCity,17,3,14,0,17
8481,Zhenping,鎮平,342,116.17018127,24.651355743,CHN.6.10_1,Guangdong,廣東|广东,Meizhou,梅州市,PrefectureCity,17,1,16,0,17
7104,Fenghuang Zhiliting,鳳凰直隸廳,120473,124.06510925,40.454967499,CHN.18.5_1,Liaoning,遼寧|辽宁,Dandong,丹东市,PrefectureCity,17,1,16,0,17
5216,Qian Zhou,乾州,70855,108.23560333,34.53030014,CHN.22.8_1,Shaanxi,陝西|陕西,Xianyang,咸阳市,PrefectureCity,16,16,9,16,0
4915,Guan Xian,冠縣,45349,115.435004,36.472101,CHN.23.8_1,Shandong,山東|山东,Liaocheng,聊城市,PrefectureCity,16,16,11,16,0
7711,Hezhou Zhilizhou,和州直隸州,9778,118.36112213,31.714223862,CHN.1.4_1,Anhui,安徽|安徽,Chaohu,巢湖市,PrefectureCity,16,16,1,0,16
4519,Daming,大名,45009,115.13826,36.24564,CHN.10.4_1,Hebei,河北,Handan,邯郸市,PrefectureCity,16,16,7,16,0
5156,Xi Xian,息縣,82590,114.729088,32.34243,CHN.12.14_1,Henan,河南,Xinyang,信阳市,PrefectureCity,16,16,7,16,0
5826,Chengdu,成都,44394,104.077995,30.650385,CHN.26.2_1,Sichuan,四川,Chengdu,成都市,PrefectureCity,16,16,10,16,0
4900,Dong'e,東阿,45306,116.251021,36.211385,CHN.23.8_1,Shandong,山東|山东,Liaocheng,聊城市,PrefectureCity,16,16,13,16,0
5538,Guiyang,桂陽,41711,113.679718,25.55172,CHN.14.3_1,Hunan,湖南,Chenzhou,郴州市|郴州市,PrefectureCity,16,16,12,16,0
5194,Zhouzhi,盩厔,70789,108.21199,34.171139,CHN.22.7_1,Shaanxi,陝西|陕西,Xi'an,西安市,PrefectureCity,16,16,12,16,0
