GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.12.14_1,Henan,河南,Xinyang,信阳市,Dìjíshì,PrefectureCity,18913.027
CHN.12.15_1,Henan,河南,Xuchang,许昌市,Dìjíshì,PrefectureCity,5000.376
CHN.12.16_1,Henan,河南,Zhengzhou,郑州市,Dìjíshì,PrefectureCity,7525.161
CHN.12.17_1,Henan,河南,Zhoukou,周口市,Dìjíshì,PrefectureCity,12026.630
CHN.12.18_1,Henan,河南,Zhumadian,驻马店市,Dìjíshì,PrefectureCity,15122.755
HKG.1_1,HongKong,NA,CentralandWestern,NA,District,District,12.447
HKG.2_1,HongKong,NA,Eastern,NA,District,District,18.989
HKG.3_1,HongKong,NA,Islands,NA,District,District,179.461
HKG.4_1,HongKong,NA,KowloonCity,NA,District,District,10.661
HKG.5_1,HongKong,NA,KwaiTsing,NA,District,District,23.761
HKG.6_1,HongKong,NA,KwunTong,NA,District,District,11.764
HKG.7_1,HongKong,NA,North,NA,District,District,138.911
HKG.8_1,HongKong,NA,SaiKung,NA,District,District,143.300
HKG.9_1,HongKong,NA,ShaTin,NA,District,District,67.343
HKG.10_1,HongKong,NA,ShamShuiPo,NA,District,District,9.475
HKG.11_1,HongKong,NA,Southern,NA,District,District,42.581
HKG.12_1,HongKong,NA,TaiPo,NA,District,District,154.077
HKG.13_1,HongKong,NA,TsuenWan,NA,District,District,61.866
HKG.14_1,HongKong,NA,TuenMun,NA,District,District,90.489
HKG.15_1,HongKong,NA,WanChai,NA,District,District,9.783
HKG.16_1,HongKong,NA,WongTaiSin,NA,District,District,9.390
HKG.17_1,HongKong,NA,YauTsimMong,NA,District,District,7.770
HKG.18_1,HongKong,NA,YuenLong,NA,District,District,138.911
CHN.13.1_1,Hubei,湖北,EnshiTujiaandMiao,恩施土家族苗族自治州,Zìzhìzhou,AutonomousPrefecture,24218.071
CHN.13.2_1,Hubei,湖北,Ezhou,鄂州市,Dìjíshì,PrefectureCity,2025.944
CHN.13.3_1,Hubei,湖北,Huanggang,黄冈市,Dìjíshì,PrefectureCity,17119.366
CHN.13.4_1,Hubei,湖北,Huangshi,黄石市,Dìjíshì,PrefectureCity,4589.432
CHN.13.5_1,Hubei,湖北,Jingmen,荆门市,Dìjíshì,PrefectureCity,12366.644
CHN.13.6_1,Hubei,湖北,Jingzhou,荆州市,Dìjíshì,PrefectureCity,14104.690
CHN.13.7_1,Hubei,湖北,Qianjiang,潜江市,Dìjíshì,PrefectureCity,2025.513
CHN.13.8_1,Hubei,湖北,Shennongjia,神农架林区,Dìqu,Prefecture,3233.463
CHN.13.9_1,Hubei,湖北,Shiyan,十堰市,Dìjíshì,PrefectureCity,23638.211
CHN.13.10_1,Hubei,湖北,SuizhouShi,随州市,Dìjíshì,PrefectureCity,9609.088
CHN.13.11_1,Hubei,湖北,Tianmen,天门市,Dìjíshì,PrefectureCity,2644.074
CHN.13.12_1,Hubei,湖北,Wuhan,武汉市,Dìjíshì,PrefectureCity,8382.047
CHN.13.13_1,Hubei,湖北,Xiangfan,襄樊市,Dìjíshì,PrefectureCity,19747.113
CHN.13.14_1,Hubei,湖北,Xianning,咸宁市,Dìjíshì,PrefectureCity,9762.554
CHN.13.15_1,Hubei,湖北,Xiantao,仙桃市,Dìjíshì,PrefectureCity,2527.624
CHN.13.16_1,Hubei,湖北,Xiaogan,孝感市,Dìjíshì,PrefectureCity,8882.262
CHN.13.17_1,Hubei,湖北,Yichang,宜昌市,Dìjíshì,PrefectureCity,21301.245
CHN.14.1_1,Hunan,湖南,Changde,常德市|常德市,Dìjíshì,PrefectureCity,18283.328
CHN.14.2_1,Hunan,湖南,Changsha,长沙市|長沙市,Dìjíshì,PrefectureCity,11792.438
CHN.14.3_1,Hunan,湖南,Chenzhou,郴州市|郴州市,Dìjíshì,PrefectureCity,19435.541
CHN.14.4_1,Hunan,湖南,Hengyang,衡阳市|衡陽市,Dìjíshì,PrefectureCity,15392.780
CHN.14.5_1,Hunan,湖南,Huaihua,怀化市|懷化市,Dìjíshì,PrefectureCity,27629.828
CHN.14.6_1,Hunan,湖南,Loudi,娄底市|婁底市,Dìjíshì,PrefectureCity,8133.975
CHN.14.7_1,Hunan,湖南,Shaoyang,邵阳市|邵陽市,Dìjíshì,PrefectureCity,23092.658
CHN.14.8_1,Hunan,湖南,Xiangtan,湘潭市|湘潭市,Dìjíshì,PrefectureCity,5066.210
CHN.14.9_1,Hunan,湖南,XiangxiTujiaandMiao,湘西土家族苗族自治州|湘西土家族苗族自治州,Zìzhìzhou,AutonomousPrefecture,15518.480
CHN.14.10_1,Hunan,湖南,Yiyang,益阳市|益陽市,Dìjíshì,PrefectureCity,12200.438
CHN.14.11_1,Hunan,湖南,Yongzhou,永州市|永州市,Dìjíshì,PrefectureCity,20178.964
CHN.14.12_1,Hunan,湖南,Yueyang,岳阳市|岳陽市,Dìjíshì,PrefectureCity,14845.310
CHN.14.13_1,Hunan,湖南,Zhangjiajie,张家界市|張家界市,Dìjíshì,PrefectureCity,9572.782
CHN.14.14_1,Hunan,湖南,Zhuzhou,株洲市|株洲市,Dìjíshì,PrefectureCity,11310.860
CHN.15.1_1,Jiangsu,江蘇|江苏,Changzhou,常州市,Dìjíshì,PrefectureCity,4393.095
CHN.15.2_1,Jiangsu,江蘇|江苏,Huai'an,淮安市,Dìjíshì,PrefectureCity,9993.383
CHN.15.3_1,Jiangsu,江蘇|江苏,Lianyungang,连云港市,Dìjíshì,PrefectureCity,7403.745
CHN.15.4_1,Jiangsu,江蘇|江苏,Nanjing,南京市,Dìjíshì,PrefectureCity,6588.198
CHN.15.5_1,Jiangsu,江蘇|江苏,Nantong,南通市,Dìjíshì,PrefectureCity,8909.672
CHN.15.6_1,Jiangsu,江蘇|江苏,Suqian,宿迁市,Dìjíshì,PrefectureCity,8575.456
CHN.15.7_1,Jiangsu,江蘇|江苏,Suzhou,苏州市,Dìjíshì,PrefectureCity,8458.861
CHN.15.8_1,Jiangsu,江蘇|江苏,Taizhou,泰州市,Dìjíshì,PrefectureCity,5780.878
CHN.15.9_1,Jiangsu,江蘇|江苏,Wuxi,无锡市,Dìjíshì,PrefectureCity,4606.085
CHN.15.10_1,Jiangsu,江蘇|江苏,Xuzhou,徐州市,Dìjíshì,PrefectureCity,11229.972
CHN.15.11_1,Jiangsu,江蘇|江苏,Yancheng,盐城市,Dìjíshì,PrefectureCity,15378.447
CHN.15.12_1,Jiangsu,江蘇|江苏,Yangzhou,扬州市,Dìjíshì,PrefectureCity,6622.569
CHN.15.13_1,Jiangsu,江蘇|江苏,Zhenjiang,镇江市,Dìjíshì,PrefectureCity,3831.543
CHN.16.1_1,Jiangxi,江西,Fuzhou,抚州市,Dìjíshì,PrefectureCity,18844.885
CHN.16.2_1,Jiangxi,江西,Ganzhou,赣州市,Dìjíshì,PrefectureCity,39520.006
CHN.16.3_1,Jiangxi,江西,Ji'an,吉安市,Dìjíshì,PrefectureCity,25354.582
CHN.16.4_1,Jiangxi,江西,Jingdezhen,景德镇市,Dìjíshì,PrefectureCity,5265.861
CHN.16.5_1,Jiangxi,江西,Jiujiang,九江市,Dìjíshì,PrefectureCity,18834.063
CHN.16.6_1,Jiangxi,江西,Nanchang,南昌市,Dìjíshì,PrefectureCity,7414.259
CHN.16.7_1,Jiangxi,江西,Pingxiang,萍乡市,Dìjíshì,PrefectureCity,3800.482
CHN.16.8_1,Jiangxi,江西,Shangrao,上饶市,Dìjíshì,PrefectureCity,22809.167
CHN.16.9_1,Jiangxi,江西,Xinyu,新余市,Dìjíshì,PrefectureCity,3202.700
CHN.16.10_1,Jiangxi,江西,Yichun,宜春市,Dìjíshì,PrefectureCity,18718.852
CHN.16.11_1,Jiangxi,江西,Yingtan,鹰潭市,Dìjíshì,PrefectureCity,3536.659
CHN.17.1_1,Jilin,吉林,Baicheng,白城市,Dìjíshì,PrefectureCity,25557.279
CHN.17.2_1,Jilin,吉林,Baishan,白山市,Dìjíshì,PrefectureCity,17449.595
CHN.17.3_1,Jilin,吉林,Changchun,长春市,Dìjíshì,PrefectureCity,20457.605
